stem,n_coco,n_yolo,max_coord_diff,status
0019_0026_5,8,8,8.75e-07,OK
0019_0027_5,7,7,9.62963e-07,OK
0019_0028_5,7,7,1e-06,OK
0019_0029_5,6,6,9.375e-07,OK
0019_0030_5,6,6,8.33333e-07,OK
0019_0031_5,6,6,9.16667e-07,OK
0019_0032_5,6,6,9.62963e-07,OK
0019_0033_5,6,6,9.58333e-07,OK
0019_0034_5,6,6,9.58333e-07,OK
0019_0035_5,6,6,9.62963e-07,OK
0019_0036_5,6,6,9.62963e-07,OK
0019_0037_5,6,6,9.79167e-07,OK
0019_0038_5,7,7,9.62963e-07,OK
0019_0039_5,8,8,9.62963e-07,OK
0019_0040_5,9,9,9.62963e-07,OK
0019_0041_5,10,10,9.62963e-07,OK
0019_0042_5,11,11,1e-06,OK
0019_0043_5,13,13,1e-06,OK
0019_0044_5,14,14,9.62963e-07,OK
0019_0045_5,14,14,9.58333e-07,OK
0019_0046_5,14,14,9.79167e-07,OK
0019_0047_5,14,14,9.62963e-07,OK
0019_0048_5,16,16,9.79167e-07,OK
0019_0049_5,18,18,9.79167e-07,OK
0019_0050_5,17,17,9.58333e-07,OK
0019_0051_5,20,20,9.62963e-07,OK
0019_0052_5,19,19,9.62963e-07,OK
0019_0053_5,23,23,1e-06,OK
0019_0054_5,23,23,9.79167e-07,OK
0019_0055_5,22,22,9.62963e-07,OK
0019_0056_5,25,25,9.79167e-07,OK
0019_0057_5,23,23,9.62963e-07,OK
0019_0058_5,21,21,9.79167e-07,OK
0019_0059_5,22,22,1e-06,OK
0019_0060_5,22,22,9.62963e-07,OK
0019_0061_5,24,24,9.79167e-07,OK
0019_0062_5,25,25,1e-06,OK
0019_0063_5,27,27,1e-06,OK
0019_0064_5,25,25,9.58333e-07,OK
0019_0065_5,26,26,9.62963e-07,OK
0019_0066_5,29,29,9.62963e-07,OK
0019_0067_5,27,27,9.79167e-07,OK
0019_0068_5,28,28,9.62963e-07,OK
0019_0069_5,28,28,9.62963e-07,OK
0019_0070_5,25,25,9.62963e-07,OK
0019_0071_5,23,23,1e-06,OK
0019_0072_5,23,23,9.79167e-07,OK
0019_0073_5,22,22,9.79167e-07,OK
0019_0074_5,22,22,9.62963e-07,OK
0019_0075_5,21,21,9.62963e-07,OK
0019_0076_5,20,20,1e-06,OK
0019_0077_5,17,17,9.62963e-07,OK
0019_0078_5,16,16,1e-06,OK
0019_0079_5,15,15,1e-06,OK
0019_0080_5,13,13,1e-06,OK
0019_0081_5,11,11,1e-06,OK
0019_0082_5,13,13,9.62963e-07,OK
0019_0083_5,11,11,9.62963e-07,OK
0019_0084_5,10,10,9.375e-07,OK
0019_0085_5,10,10,9.58333e-07,OK
0019_0086_5,13,13,9.375e-07,OK
0019_0087_5,12,12,9.62963e-07,OK
0019_0088_5,14,14,9.79167e-07,OK
0019_0089_5,13,13,9.62963e-07,OK
0019_0090_5,14,14,9.62963e-07,OK
0019_0091_5,14,14,9.79167e-07,OK
0019_0092_5,15,15,9.62963e-07,OK
0019_0093_5,14,14,9.62963e-07,OK
0019_0094_5,15,15,9.79167e-07,OK
0019_0095_5,15,15,9.79167e-07,OK
0019_0096_5,17,17,9.62963e-07,OK
0019_0097_5,15,15,9.62963e-07,OK
0019_0098_5,15,15,9.62963e-07,OK
0019_0099_5,13,13,1e-06,OK
0019_0100_5,13,13,1e-06,OK
0019_0101_5,13,13,1e-06,OK
0019_0102_5,12,12,1e-06,OK
0019_0103_5,15,15,9.375e-07,OK
0019_0104_5,16,16,1e-06,OK
0019_0105_5,18,18,1e-06,OK
0019_0106_5,19,19,1e-06,OK
0019_0107_5,19,19,9.62963e-07,OK
0019_0108_5,20,20,1e-06,OK
0019_0109_5,20,20,1e-06,OK
0019_0110_5,21,21,9.62963e-07,OK
0019_0111_5,20,20,9.62963e-07,OK
0019_0112_5,20,20,1e-06,OK
0019_0113_5,19,19,1e-06,OK
0019_0114_5,19,19,1e-06,OK
0019_0115_5,18,18,9.62963e-07,OK
0019_0116_5,17,17,9.62963e-07,OK
0019_0117_5,17,17,9.62963e-07,OK
0019_0118_5,15,15,9.79167e-07,OK
0019_0119_5,14,14,1e-06,OK
0019_0120_5,14,14,1e-06,OK
0019_0121_5,16,16,9.62963e-07,OK
0019_0122_5,16,16,9.58333e-07,OK
0019_0123_5,16,16,1e-06,OK
0019_0124_5,16,16,9.58333e-07,OK
0019_0125_5,15,15,9.58333e-07,OK
0019_0126_5,16,16,1e-06,OK
0019_0127_5,17,17,1e-06,OK
0019_0128_5,17,17,1e-06,OK
0019_0129_5,18,18,9.58333e-07,OK
0019_0130_5,19,19,9.62963e-07,OK
0019_0131_5,19,19,9.62963e-07,OK
0019_0132_5,19,19,9.62963e-07,OK
0019_0133_5,20,20,1e-06,OK
0019_0134_5,21,21,9.62963e-07,OK
0019_0135_5,21,21,1e-06,OK
0019_0136_5,20,20,1e-06,OK
0019_0137_5,20,20,9.62963e-07,OK
0019_0138_5,18,18,1e-06,OK
0019_0139_5,18,18,1e-06,OK
0019_0140_5,18,18,9.375e-07,OK
0019_0141_5,16,16,1e-06,OK
0019_0142_5,16,16,9.62963e-07,OK
0019_0143_5,17,17,1e-06,OK
0019_0144_5,17,17,9.62963e-07,OK
0019_0145_5,16,16,1e-06,OK
0019_0146_5,15,15,9.79167e-07,OK
0019_0147_5,16,16,9.79167e-07,OK
0019_0148_5,15,15,9.79167e-07,OK
0019_0149_5,13,13,9.25926e-07,OK
0019_0150_5,14,14,1e-06,OK
0019_0151_5,13,13,9.62963e-07,OK
0019_0152_5,16,16,9.62963e-07,OK
0019_0153_5,16,16,1e-06,OK
0019_0154_5,18,18,9.79167e-07,OK
0019_0155_5,17,17,9.62963e-07,OK
0019_0156_5,18,18,9.62963e-07,OK
0019_0157_5,18,18,1e-06,OK
0019_0158_5,19,19,9.62963e-07,OK
0019_0159_5,21,21,1e-06,OK
0019_0160_5,23,23,9.79167e-07,OK
0019_0161_5,22,22,9.62963e-07,OK
0019_0162_5,22,22,9.58333e-07,OK
0019_0163_5,25,25,9.62963e-07,OK
0019_0164_5,27,27,1e-06,OK
0019_0165_5,28,28,1e-06,OK
0019_0166_5,26,26,1e-06,OK
0019_0167_5,26,26,1e-06,OK
0019_0168_5,26,26,9.79167e-07,OK
0019_0169_5,24,24,9.62963e-07,OK
0019_0170_5,23,23,9.62963e-07,OK
0019_0171_5,23,23,1e-06,OK
0019_0172_5,23,23,1e-06,OK
0019_0173_5,24,24,9.62963e-07,OK
0019_0174_5,23,23,9.62963e-07,OK
0019_0175_5,19,19,9.62963e-07,OK
0019_0176_5,19,19,9.79167e-07,OK
0019_0177_5,18,18,9.79167e-07,OK
0019_0178_5,16,16,9.62963e-07,OK
0019_0179_5,14,14,9.79167e-07,OK
0019_0180_5,13,13,1e-06,OK
0019_0181_5,11,11,9.375e-07,OK
0019_0182_5,11,11,9.62963e-07,OK
0019_0183_5,10,10,9.79167e-07,OK
0019_0184_5,13,13,9.62963e-07,OK
0019_0185_5,12,12,9.375e-07,OK
0019_0186_5,12,12,9.62963e-07,OK
0019_0187_5,11,11,9.58333e-07,OK
0019_0188_5,11,11,1e-06,OK
0019_0189_5,11,11,9.58333e-07,OK
0019_0190_5,11,11,9.62963e-07,OK
0019_0191_5,14,14,1e-06,OK
0019_0192_5,16,16,1e-06,OK
0019_0193_5,17,17,1e-06,OK
0019_0194_5,18,18,1e-06,OK
0019_0195_5,19,19,1e-06,OK
0019_0196_5,19,19,1e-06,OK
0019_0197_5,20,20,1e-06,OK
0019_0198_5,21,21,9.62963e-07,OK
0019_0199_5,22,22,9.62963e-07,OK
0019_0200_5,24,24,9.79167e-07,OK
0019_0201_5,24,24,9.79167e-07,OK
0019_0202_5,25,25,9.79167e-07,OK
0019_0203_5,26,26,9.62963e-07,OK
0019_0204_5,25,25,9.79167e-07,OK
0019_0205_5,24,24,1e-06,OK
0019_0206_5,25,25,9.79167e-07,OK
0019_0207_5,23,23,9.62963e-07,OK
0019_0208_5,22,22,1e-06,OK
0019_0209_5,23,23,1e-06,OK
0019_0210_5,21,21,9.25926e-07,OK
0019_0211_5,21,21,9.62963e-07,OK
0019_0212_5,22,22,1e-06,OK
0019_0213_5,20,20,1e-06,OK
0019_0214_5,21,21,9.62963e-07,OK
0019_0215_5,21,21,9.62963e-07,OK
0019_0216_5,19,19,1e-06,OK
0019_0217_5,18,18,9.62963e-07,OK
0019_0218_5,16,16,9.79167e-07,OK
0019_0219_5,15,15,9.62963e-07,OK
0019_0220_5,16,16,9.62963e-07,OK
0019_1426_5,16,16,9.62963e-07,OK
0019_1427_5,16,16,9.62963e-07,OK
0019_1428_5,17,17,9.62963e-07,OK
0019_1429_5,16,16,9.79167e-07,OK
0019_1430_5,15,15,9.79167e-07,OK
0019_1431_5,13,13,1e-06,OK
0019_1432_5,14,14,1e-06,OK
0019_1433_5,15,15,1e-06,OK
0019_1434_5,18,18,1e-06,OK
0019_1435_5,19,19,1e-06,OK
0019_1436_5,20,20,1e-06,OK
0019_1437_5,21,21,1e-06,OK
0019_1438_5,19,19,9.62963e-07,OK
0019_1439_5,19,19,9.62963e-07,OK
0019_1440_5,18,18,9.62963e-07,OK
0019_1441_5,19,19,1e-06,OK
0019_1442_5,20,20,1e-06,OK
0019_1443_5,21,21,9.79167e-07,OK
0019_1444_5,19,19,1e-06,OK
0019_1445_5,18,18,9.62963e-07,OK
0019_1446_5,18,18,9.79167e-07,OK
0019_1447_5,21,21,9.62963e-07,OK
0019_1448_5,19,19,9.79167e-07,OK
0019_1449_5,18,18,9.79167e-07,OK
0019_1450_5,16,16,1e-06,OK
0019_1451_5,17,17,9.79167e-07,OK
0019_1452_5,16,16,1e-06,OK
0019_1453_5,15,15,1e-06,OK
0019_1454_5,17,17,1e-06,OK
0019_1455_5,17,17,1e-06,OK
0019_1456_5,19,19,9.58333e-07,OK
0019_1457_5,20,20,9.62963e-07,OK
0019_1458_5,18,18,9.62963e-07,OK
0019_1459_5,18,18,1e-06,OK
0019_1460_5,18,18,9.62963e-07,OK
0019_1461_5,18,18,9.79167e-07,OK
0019_1462_5,20,20,9.58333e-07,OK
0019_1463_5,19,19,9.79167e-07,OK
0019_1464_5,20,20,1e-06,OK
0019_1465_5,20,20,9.79167e-07,OK
0019_1466_5,23,23,9.62963e-07,OK
0019_1467_5,22,22,1e-06,OK
0019_1468_5,25,25,9.62963e-07,OK
0019_1469_5,24,24,9.62963e-07,OK
0019_1470_5,24,24,1e-06,OK
0019_1471_5,21,21,9.79167e-07,OK
0019_1472_5,21,21,9.58333e-07,OK
0019_1473_5,21,21,1e-06,OK
0019_1474_5,22,22,9.79167e-07,OK
0019_1475_5,23,23,1e-06,OK
0019_1476_5,22,22,1e-06,OK
0019_1477_5,23,23,1e-06,OK
0019_1478_5,23,23,9.79167e-07,OK
0019_1479_5,21,21,9.58333e-07,OK
0019_1480_5,21,21,1e-06,OK
0019_1481_5,21,21,1e-06,OK
0019_1482_5,18,18,1e-06,OK
0019_1483_5,17,17,1e-06,OK
0019_1484_5,14,14,1e-06,OK
0019_1485_5,16,16,9.62963e-07,OK
0019_1486_5,16,16,1e-06,OK
0019_1487_5,17,17,9.79167e-07,OK
0019_1488_5,19,19,9.62963e-07,OK
0019_1489_5,18,18,1e-06,OK
0019_1490_5,17,17,9.62963e-07,OK
0019_1491_5,16,16,9.79167e-07,OK
0019_1492_5,16,16,9.58333e-07,OK
0019_1493_5,13,13,9.25926e-07,OK
0019_1494_5,13,13,1e-06,OK
0019_1495_5,13,13,9.62963e-07,OK
0019_1496_5,14,14,9.62963e-07,OK
0019_1497_5,13,13,9.79167e-07,OK
0019_1498_5,13,13,1e-06,OK
0019_1499_5,15,15,1e-06,OK
0019_1500_5,15,15,1e-06,OK
0019_1501_5,15,15,9.62963e-07,OK
0019_1502_5,12,12,9.62963e-07,OK
0019_1503_5,13,13,9.25926e-07,OK
0019_1504_5,12,12,9.62963e-07,OK
0019_1505_5,11,11,9.25926e-07,OK
0019_1506_5,12,12,1e-06,OK
0019_1507_5,12,12,9.375e-07,OK
0019_1508_5,13,13,1e-06,OK
0019_1509_5,13,13,9.62963e-07,OK
0019_1510_5,16,16,1e-06,OK
0019_1511_5,15,15,1e-06,OK
0019_1512_5,15,15,9.62963e-07,OK
0019_1513_5,15,15,9.62963e-07,OK
0019_1514_5,14,14,9.62963e-07,OK
0019_1515_5,12,12,1e-06,OK
0019_1516_5,13,13,1e-06,OK
0019_1517_5,11,11,1e-06,OK
0019_1518_5,10,10,9.58333e-07,OK
0019_1519_5,12,12,9.79167e-07,OK
0019_1520_5,13,13,9.62963e-07,OK
0019_1521_5,15,15,9.79167e-07,OK
0019_1522_5,14,14,1e-06,OK
0019_1523_5,14,14,9.79167e-07,OK
0019_1524_5,15,15,9.62963e-07,OK
0019_1525_5,16,16,9.79167e-07,OK
0019_1526_5,15,15,9.375e-07,OK
0019_1527_5,15,15,9.62963e-07,OK
0019_1528_5,16,16,1e-06,OK
0019_1529_5,16,16,9.62963e-07,OK
0019_1530_5,17,17,1e-06,OK
0019_1531_5,18,18,1e-06,OK
0019_1532_5,18,18,9.62963e-07,OK
0019_1533_5,19,19,9.79167e-07,OK
0019_1534_5,19,19,1e-06,OK
0019_1535_5,18,18,1e-06,OK
0019_1536_5,17,17,1e-06,OK
0019_1537_5,17,17,1e-06,OK
0019_1538_5,15,15,1e-06,OK
0019_1539_5,15,15,1e-06,OK
0019_1540_5,14,14,1e-06,OK
0019_1541_5,12,12,1e-06,OK
0019_1542_5,14,14,9.62963e-07,OK
